Source,Target,Value
Your $100 cost basis,Accelerator compute capacity,55
Your $100 cost basis,Electricity,12
Your $100 cost basis,Cooling + facility overhead,8
Your $100 cost basis,Networking + storage,8
Your $100 cost basis,Inference platform ops labor,10
Your $100 cost basis,G&A + support + compliance + billing,7
Accelerator compute capacity,Hardware depreciation/lease/financing,28
Accelerator compute capacity,Cloud/operator margin & overhead,12
Accelerator compute capacity,Datacenter labor + ops,10
Accelerator compute capacity,Hardware supply-chain labor embedded,5
Electricity,Generation fuel/PPAs,4
Electricity,Utility capex recovery & maintenance,4
Electricity,Utility labor,3
Electricity,Utility profit/financing,1
Cooling + facility overhead,Facility capex recovery,3
Cooling + facility overhead,Facility maintenance labor,2
Cooling + facility overhead,Consumables/service contracts,2
Cooling + facility overhead,Landlord/operator margin/financing,1
Networking + storage,Bandwidth/transit/egress,3
Networking + storage,Networking/storage depreciation,2
Networking + storage,Ops labor,2
Networking + storage,Vendor margin/financing,1
Inference platform ops labor,Wages/benefits,9
Inference platform ops labor,Tools/vendors,1
G&A + support + compliance + billing,Wages/benefits,5
G&A + support + compliance + billing,Payment processing fees,1
G&A + support + compliance + billing,Misc vendors/software,1
